1106022024446954311                                      ARQUIVOCAIXA1234500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2100000000000101012022202203468037531                                                       Carlos Fabrício3112196900000000001                                                        Josefa Pereira01000069.34010502202431122024000000000000000000005555466167PP06597962014735920000000
2100000000000201012022202254963498004                                                       Roberta Barbosa3112196900000000002                                                        Josefa Pereira01000481.26030502202431122024000000000000000000000000988993PP15176021253597130000000
2100000000000301012022202244656019158                                                        Josefa Pereira3112196900000000003                                                      Joana dos Santos01001019.09010502202431122024000000000000000000000000982402PP61179838643436020000000
2100000000000401012022202285394857698                                                      Victor Czarnobay3112196900000000004                                                       Roberta Barbosa01000203.02070502202431122024000000000000000000005555250493PP01930643964500430000000
2100000000000501012022202278882572906                                                      Victor Czarnobay3112196900000000005                                                       Roberta Barbosa01000065.69050502202431122024000000000000000000009999073560CD92886872547766810000000
2100000000000601012022202239625830593                                                        Josefa Pereira3112196900000000006                                                        Josefa Pereira01000543.62030502202431122024000000000000000000000000653541PP12304276629533720000000
2100000000000701012022202237595452400                                                        Maria da Silva3112196900000000007                                                      Joana dos Santos01000351.47010502202431122024000000000000000000009999098368CC26557393636254130000000
2100000000000801012022202206159830120                                                      Joana dos Santos3112196900000000008                                                        Maria da Silva01000044.82110502202431122024000000000000000000009999983383CC69797239575351210000000
2100000000000901012022202210114388840                                                        Josefa Pereira3112196900000000009                                                        Maria da Silva01000472.29120502202431122024000000000000000000005555298360PP08153022239766220000000
2100000000001001012022202295273132998                                                       Carlos Fabrício3112196900000000010                                                        Josefa Pereira01000516.02030502202431122024000000000000000000005555918466PP41416133119107330000000
2100000000001101012022202246509997209                                                       Roberta Barbosa3112196900000000011                                                      Joana dos Santos01001185.28060502202431122024000000000000000000005555920266CC17897911654017830000000
2100000000001201012022202254080712166                                                        Maria da Silva3112196900000000012                                                      Joana dos Santos01000672.26050502202431122024000000000000000000000000659682CC95706603359934010000000
2100000000001301012022202212983306310                                                      Victor Czarnobay3112196900000000013                                                      Joana dos Santos01000610.82040502202431122024000000000000000000000000352134CD50885492591006520000000
2100000000001401012022202263646445657                                                     Cristiano Ronaldo3112196900000000014                                                       Roberta Barbosa01000612.65050502202431122024000000000000000000000000261590CC53472419680753930000000
2100000000001501012022202263561846922                                                        Josefa Pereira3112196900000000015                                                       Roberta Barbosa01000409.35020502202431122024000000000000000000005555955794PP28119607799499420000000
2100000000001601012022202248613647351                                                      Victor Czarnobay3112196900000000016                                                       Roberta Barbosa01000634.66070502202431122024000000000000000000009999750299CD36866043776477710000000
2100000000001701012022202221329804164                                                        Pedro Monteiro3112196900000000017                                                      Joana dos Santos01000122.33090502202431122024000000000000000000005555875144CD21549682846599130000000
2100000000001801012022202255312380807                                                      Victor Czarnobay3112196900000000018                                                        Josefa Pereira01000831.60100502202431122024000000000000000000009999035305PP79827954915172730000000
2100000000001901012022202265701783129                                                      Victor Czarnobay3112196900000000019                                                      Joana dos Santos01000452.15020502202431122024000000000000000000005555472653CD02645951817318330000000
2100000000002001012022202278334550008                                                          Alan Barbosa3112196900000000020                                                        Maria da Silva01000033.50020502202431122024000000000000000000000000830400PP06007405928641230000000
2100000000002101012022202244591543383                                                        Pedro Monteiro3112196900000000021                                                      Joana dos Santos01000905.67010502202431122024000000000000000000000000092523CC72218380966029920000000
2100000000002201012022202238181442361                                                      Joana dos Santos3112196900000000022                                                       Roberta Barbosa01000760.11090502202431122024000000000000000000000000469448PP87705302274168010000000
2100000000002301012022202231229653231                                                      Victor Czarnobay3112196900000000023                                                        Josefa Pereira01000003.68030502202431122024000000000000000000005555761404CC45398618109491120000000
2100000000002401012022202290243987125                                                       Roberta Barbosa3112196900000000024                                                       Roberta Barbosa01000351.67010502202431122024000000000000000000000000344548CD28737031284704430000000
2100000000002501012022202200954595851                                                       Carlos Fabrício3112196900000000025                                                       Roberta Barbosa01001103.55020502202431122024000000000000000000000000421584CD39562575247463220000000
2100000000002601012022202299895303472                                                        Pedro Monteiro3112196900000000026                                                      Joana dos Santos01000380.99020502202431122024000000000000000000005555712845PP72974198142226930000000
2100000000002701012022202227590102045                                                       Carlos Fabrício3112196900000000027                                                      Joana dos Santos01000991.89080502202431122024000000000000000000009999969644CC26462368972063230000000
2100000000002801012022202234034848263                                                      Joana dos Santos3112196900000000028                                                      Joana dos Santos01000861.79010502202431122024000000000000000000000000831998CD46356448982935210000000
2100000000002901012022202291392309883                                                       Roberta Barbosa3112196900000000029                                                        Maria da Silva01001110.91110502202431122024000000000000000000005555855803CD24504725778630310000000
2100000000003001012022202293681536178                                                        Maria da Silva3112196900000000030                                                        Maria da Silva01000294.04020502202431122024000000000000000000005555430165CD34077530232513210000000
2100000000003101012022202255305113163                                                          Alan Barbosa3112196900000000031                                                       Roberta Barbosa01000705.35050502202431122024000000000000000000000000917845PP01398199843006130000000
2100000000003201012022202200385006598                                                        Josefa Pereira3112196900000000032                                                       Roberta Barbosa01001063.50090502202431122024000000000000000000005555797424CC55174620874093130000000
2100000000003301012022202233183866350                                                        Maria da Silva3112196900000000033                                                        Maria da Silva01000952.44060502202431122024000000000000000000005555912668CC95850706582287920000000
2100000000003401012022202296768605126                                                      Victor Czarnobay3112196900000000034                                                       Roberta Barbosa01000903.86120502202431122024000000000000000000005555630032CC60226270172784930000000
2100000000003501012022202297121439099                                                        Josefa Pereira3112196900000000035                                                      Joana dos Santos01000465.85100502202431122024000000000000000000005555287725PP45249769354569820000000
2100000000003601012022202201730650889                                                       Roberta Barbosa3112196900000000036                                                       Roberta Barbosa01000903.61020502202431122024000000000000000000000000268201PP17724084674248620000000
2100000000003701012022202270455490256                                                        Josefa Pereira3112196900000000037                                                        Maria da Silva01000588.65020502202431122024000000000000000000005555044375PP62190568811009030000000
2100000000003801012022202221917781023                                                      Joana dos Santos3112196900000000038                                                        Josefa Pereira01000093.50120502202431122024000000000000000000009999393926CC63664640765666730000000
2100000000003901012022202268051738166                                                       Carlos Fabrício3112196900000000039                                                       Roberta Barbosa01001054.44100502202431122024000000000000000000000000383642CD08614534221476220000000
2100000000004001012022202211717402849                                                     Cristiano Ronaldo3112196900000000040                                                      Joana dos Santos01000328.87120502202431122024000000000000000000000000601092CC11844816687621930000000
2100000000004101012022202282499580035                                                          Alan Barbosa3112196900000000041                                                       Roberta Barbosa01000131.49120502202431122024000000000000000000005555043026CC44170914432347930000000
2100000000004201012022202239041999759                                                      Victor Czarnobay3112196900000000042                                                       Roberta Barbosa01000178.53080502202431122024000000000000000000009999860903CC15536001012536610000000
2100000000004301012022202270042970894                                                      Joana dos Santos3112196900000000043                                                       Roberta Barbosa01000049.56070502202431122024000000000000000000000000833866CD31395401487799830000000
2100000000004401012022202275816076568                                                          Alan Barbosa3112196900000000044                                                        Maria da Silva01000067.37030502202431122024000000000000000000000000202040PP49493499721745930000000
2100000000004501012022202203525411571                                                       Carlos Fabrício3112196900000000045                                                      Joana dos Santos01001103.80100502202431122024000000000000000000005555234454CD26941936787970620000000
2100000000004601012022202207988673072                                                        Pedro Monteiro3112196900000000046                                                        Josefa Pereira01000425.40050502202431122024000000000000000000005555432836CC48991093688657230000000
2100000000004701012022202200072846357                                                        Josefa Pereira3112196900000000047                                                      Joana dos Santos01000985.88110502202431122024000000000000000000005555893861PP25215557410231730000000
2100000000004801012022202248003303632                                                      Joana dos Santos3112196900000000048                                                        Josefa Pereira01001024.99010502202431122024000000000000000000005555904987CD52463171517323310000000
2100000000004901012022202297929096937                                                       Roberta Barbosa3112196900000000049                                                        Josefa Pereira01000374.40040502202431122024000000000000000000000000433511CD56934061329585710000000
2100000000005001012022202218663810794                                                        Pedro Monteiro3112196900000000050                                                        Maria da Silva01000793.36060502202431122024000000000000000000005555815537CD63796804807051510000000
2100000000005101012022202230869347191                                                     Cristiano Ronaldo3112196900000000051                                                      Joana dos Santos01000004.56090502202431122024000000000000000000009999892589PP99724658273140520000000
2100000000005201012022202218806912104                                                     Cristiano Ronaldo3112196900000000052                                                        Maria da Silva01000680.54040502202431122024000000000000000000005555443000PP96744064546331420000000
2100000000005301012022202271006389884                                                        Josefa Pereira3112196900000000053                                                      Joana dos Santos01000390.59100502202431122024000000000000000000009999620511PP47863457766673230000000
2100000000005401012022202222217165825                                                     Cristiano Ronaldo3112196900000000054                                                      Joana dos Santos01000473.52060502202431122024000000000000000000000000449673CC24517194262862310000000
2100000000005501012022202291422400419                                                     Cristiano Ronaldo3112196900000000055                                                        Josefa Pereira01000006.78120502202431122024000000000000000000005555284495CC27952736840917030000000
2100000000005601012022202279595589983                                                        Josefa Pereira3112196900000000056                                                        Josefa Pereira01000503.04070502202431122024000000000000000000005555049094PP04353136179946520000000
2100000000005701012022202263989522703                                                       Carlos Fabrício3112196900000000057                                                        Maria da Silva01001087.86080502202431122024000000000000000000005555081703CC73150563031976910000000
2100000000005801012022202241692263633                                                     Cristiano Ronaldo3112196900000000058                                                      Joana dos Santos01001005.65020502202431122024000000000000000000005555253050PP71969485357900220000000
2100000000005901012022202285822529001                                                     Cristiano Ronaldo3112196900000000059                                                       Roberta Barbosa01000155.08020502202431122024000000000000000000000000372660CD27380115536864420000000
